дхритараштрах увача  Z царь Дхритараштра сказал
 дхарма-кшетре  Z в месте паломничества
 куру-кшетре  Z в месте под названием Курукшетра
 самаветах  Z собравшиеся
 йуйутсавах  Z желающие вступить в бой
 мамаках  Z те, кто на моей стороне (мои сыновья)
 пандавах  Z сыновья Панду
 ча  Z и
 эва  Z безусловно
 ким  Z что
 акурвата  Z сделали
 санджайа  Z о Санджая
санджайах увача  Z Санджая сказал
 дриштва  Z осмотрев
 ту  Z  но
 пандава-аникам  Z армию Пандавов
 вйудхам  Z выстроенную в боевые порядки
 дурйодханах  Z царь Дурьйодхана
 тада  Z тогда
 ачарйам  Z к учителю
 упасангамйа  Z подойдя
 раджа  Z царь
 вачанам  Z речь
 абравит  Z произнес
пашйа  Z взгляни
 этам  Z на эту
 панду-путранам  Z сыновей Панду
 ачарйа  Z о учитель
 махатим  Z огромную
 чамум  Z армию
 вйудхам  Z построенную
 друпада-путрена  Z сыном Друпады
 тава  Z твоим
 шишйена  Z учеником
 дхи-мата  Z мудрым
атра  Z здесь
 шурах  Z герои
 маха-ишу-асах  Z меткие лучники
 Бхима-Арджуна  Z Бхиме и Aрджуне
 самах  Z равные
 йудхи  Z  в бою
 йуйудханах  Z Ююдхана
 виратах  Z Вирата
 ча  Z также
 друпадах  Z Друпада
 ча  Z также
 маха-ратхах  Z великий воин
дхриштакетух  Z Дхриштакету
 чекитанах  Z Чекитана
 кашираджах  Z Кашираджа
 ча  Z и
 вирйа-ван  Z могучий
 пуруджит  Z Пуруджит
 кунтибходжах  Z Кунтибходжа
 ча  Z и
 шаибйах  Z Шайбья
 ча  Z и
 нара-пунгавах  Z герой среди людей
йудхаманйух  Z Юдхаманью
 ча  Z и
 викрантах  Z могучий
 уттамауджах  Z Уттамауджа
 ча  Z и
 вирйа-ван  Z обладающий необыкновенной силой
 саубхадрах  Z сын Субхадры
 драупадейах  Z  сыновья Драупади
 ча  Z и
 сарве  Z все
 эва  Z безусловно
 маха-ратхах  Z великие воины, сражающиеся на колесницах
асмакам  Z наши
 ту  Z но
 вишиштах  Z необыкновенно могущественные
 йе  Z которые
 тан  Z их
 нибодха  Z узнай же
 двиджа-уттама  Z о лучший из брахманов
 найаках  Z военачальники
 мама  Z мои
 саинйасйа  Z войска
 самджна-артхам  Z к сведению
 тан  Z их
 бравими  Z называю
 те  Z тебе
бхаван  Z ты (досточтимый)
 бхишмах  Z Бхишма
 ча  Z и
 карнах  Z Карна
 ча  Z и
 крипах  Z Крипа
 ча  Z и
 самитим-джайах  Z  побеждающий
 ашваттхама  Z Aшваттхама
 викарнах  Z Викарна
 ча  Z а также
 саумадаттих  Z сын Сомадатты
 татха  Z также
 эва  Z конечно
 ча  Z и
анйе  Z другие
 ча  Z также
 бахавах  Z многие
 шурах  Z герои
 мат-артхе  Z за меня
 тйакта-дживитах  Z готовые отдать жизнь
 нана  Z многими
 шастра  Z видами оружия
 прахаранах  Z вооруженные
 сарве  Z все
 йуддха-вишарадах  Z опытные в военном деле
апарйаптам  Z неизмерима
 тат  Z та
 асмакам  Z наша
 балам  Z  сила
 бхишма  Z Бхишмой
 абхиракшитам  Z надежно защищенная
 парйаптам  Z ограничена
 ту  Z но
 идам  Z эта
 этешам  Z (этих) Пандавов
 балам  Z сила
 бхима  Z Бхимой
 абхиракшитам  Z хорошо защищенная
айанешу  Z на стратегических позициях
 ча  Z также
 сарвешу  Z  на всех
 йатха-бхагам  Z раздельно
 авастхитах  Z находящиеся
 бхишмам  Z Бхишме
 эва  Z безусловно
 абхиракшанту  Z пусть оказывают поддержку
 бхавантах  Z вы (досточтимые)
 сарве  Z все
 эва хи  Z обязательно
тасйа  Z его
 санджанайан  Z усиливающий
 харшам  Z радость
 куру-вриддхах  Z старейшина рода Куру (Бхишма)
 питамахах  Z дед
 симха-надам  Z раскатистый звук, подобный рычанию льва
 винадйа  Z издав
 уччаих  Z очень громко
 шанкхам  Z в раковину
 дадхмау  Z протрубил
 пратапа-ван  Z доблестный
татах  Z затем
 шанкхах  Z раковины
 ча  Z также
 бхерйах  Z  большие барабаны
 ча  Z и
 панава-анака  Z маленькие барабаны и литавры
 го-мукхах  Z и рожки
 сахаса  Z неожиданно
 эва  Z безусловно
 абхйаханйанта  Z одновременно зазвучали
 сах  Z этот
 шабдах  Z звук
 тумулах  Z громоподобный
 абхават  Z был
татах  Z затем
 шветаих  Z белыми
 хайаих  Z лошадьми
 йукте  Z на запряженной
 махати  Z на великолепной
 сйандане  Z на колеснице
 стхитау  Z находившиеся
 мадхавах  Z Кришна (супруг богини удачи)
 пандавах  Z сын Панду (Aрджуна)
 ча  Z также
 эва  Z безусловно
 дивйау  Z в божественные
 шанкхау  Z раковины
 прададхматух  Z подули
панчаджанйам  Z в раковину, называемую Панчаджаньей
 хришика-ишах  Z Хришикеша (Господь Кришна, повелевающий чувствами Своих преданных)
 девадаттам  Z в раковину, называемую Девадаттой
 дханам-джайах  Z Дхананджая (Aрджуна, завоеватель богатств)
 паундрам  Z в раковину, называемую Паундрой
 дадхмау  Z  подул
 маха-шанкхам  Z в огромную раковину
 бхима-карма  Z совершающий богатырские подвиги
 врика-ударах  Z ненасытный едок (Бхима)
Ананта-виджайам  Z в раковину Aнантавиджаю
 раджа  Z царь
 кунти-путрах  Z сын Кунти
 йудхиштхирах  Z Юдхиштхира
 накулах  Z Накула
 сахадевах  Z Сахадева
 ча  Z и
 сугхоша-манипушпакау  Z в раковины Сугхошу и Манипушпаку
 кашйах  Z царь Каши (Варанаси)
 ча  Z и
 парама-ишу-асах  Z великий лучник
 шикханди  Z Шикханди
 ча  Z также
 маха-ратхах  Z тот, кто может в одиночку сражаться с тысячами воинов
 дхриштадйумнах  Z Дхриштадьюмна (сын царя Друпады)
 виратах  Z Вирата (царь, давший приют Пандавам, когда они вынуждены были скрываться)
 ча  Z также
 сатйаких  Z Сатьяки (другое имя Ююдханы, колесничего Господа Кришны)
 ча  Z и
 апараджитах  Z непобедимый
 друпадах  Z  Друпада, царь Панчалы
 драупадейах  Z сыновья Драупади
 ча  Z  также
 сарвашах  Z всюду
 притхиви-пате  Z о царь
 саубхдрах  Z  Aбхиманью, сын Субхадры
